id,PASAL,AYAT,NAMA_PELANGGARAN,DENDA,MENIT,BAIL
1,1,A,General Traffic Violations,250,0,0
2,1,B,Failure to pay any issued ticket,65,15,195
3,1,C,Driving any motorized vehicle without an official driving license,100,15,300
4,1,D,Maneuver any sea vehicles without official sailing licenses,150,20,600
5,1,E,Driving any truck without official trucking licenses (Heavy Truck),1500,30,9000
6,1,E,Driving any truck without official trucking licenses (Lorry),500,30,3000
7,1,F,"Truck driving in any federal roads, in any inappropriate path, and without any permission from officers before (Heavy Truck)",2000,30,10000
8,1,F,"Truck driving in any federal roads, in any inappropriate path, and without any permission from officers before (Lorry)",200,30,1200
9,1,G,Flying any air vehicles without official flying licenses as a pilot,2250,35,10000
10,1,H,Speeding,1000,0,0
11,1,I,Vehicle Parking Violation,150,0,0
12,1,J,Illegal Modifications On Vehicles,200,0,0
13,1,K,Unregistered Vehicles,150,0,0
14,1,L,Vehicular Endangerment,2500,30,8000
15,1,M,Vehicular Manslaughter,250,40,2000
16,1,N,DWI or DUI,100,15,300
17,1,O,Illegal Street Racing,150,25,750
18,1,P,Evading From Police,150,20,600
19,1,Q,Flight Regulations,250,0,0
20,1,R,Misbehavely Maneuvering / Operating an Aircraft / Aircraft Endangerment,30,450,2700
21,1,S,Emergency Landing,400,0,0
22,1,T,Failure to Yield to Emergency Vehicles,250,0,0
23,1,U,Failure to Yield to A Roadblock,200,0,0
24,1,V,Following An Emergency Vehicle,300,0,0
25,1,W,Altering or Changing a Vehicle Identification Number,100,20,400
26,2,A,Firearms License,0,0,0
27,2,B,Flying License,0,0,0
28,2,C,Trucking License,0,0,0
29,2,D,Lumberjack License,2000,25,10000
30,2,E,Event Permit,0,0,0
31,2,F,Organizing a Small Illegal Event,5000,25,10000
32,2,G,Organizing a Big Illegal Event,7500,35,10000
33,2,H,Hunting Permit,2000,30,6000
34,3,A,Possessing of Marijuana / Pots (Small Amount),200,10,400
35,3,B,Possessing of Marijuana / Pots (Large Amount),400,15,1200
36,3,C,Possessing of Cocaine / Crack (Small Amount),375,20,1500
37,3,D,Possessing of Cocaine / Crack (Large Amount),750,25,3750
38,3,E,IUI or IWI,150,15,450
39,3,F,Selling or distributing of illegal drugs,500,25,2500
40,3,G,Drug Manufacturing,500,35,3500
41,3,H,Being Present for Illegal Drug Use,100,10,200
